,pnName,eqpName,perfId,ymdms,volTage,amPere,arPower,atvPower,ratPower,pwFactor,accruePower,voltagerS,voltagesT,voltagetR,temperature
0,PA-A-30_판넬PC,2층203호냉난방기,300,20210307000010,227.646,0.366,74128,3440,4294890000,10,2124850,393.908,394.294,392.086,21.888
1,PA-A-30_판넬PC,2층203호냉난방기,300,20210307000035,227.335,0.365,74839,3607,4294890000,10,2124850,393.304,393.756,391.844,21.888
2,PA-A-30_판넬PC,2층203호냉난방기,300,20210307000125,227.219,0.364,74048,3450,4294890000,10,2124850,393.581,393.555,391.973,21.888
3,PA-A-30_판넬PC,2층203호냉난방기,300,20210307000150,227.464,0.365,73691,3491,4294890000,10,2124850,393.846,393.979,391.993,21.888
4,PA-A-30_판넬PC,2층203호냉난방기,300,20210307000215,227.83,0.367,73479,3410,4294890000,10,2124850,394.026,394.613,392.427,21.888
5,PA-A-30_판넬PC,2층203호냉난방기,300,20210307000305,227.473,0.367,74025,3290,4294890000,10,2124850,393.872,393.995,392.081,21.888
6,PA-A-30_판넬PC,2층203호냉난방기,300,20210307000355,227.631,0.367,73577,3271,4294890000,10,2124850,393.335,394.268,392.029,21.888
7,PA-A-30_판넬PC,2층203호냉난방기,300,20210307000420,227.271,0.365,73940,3352,4294890000,10,2124850,393.404,393.645,392.173,21.888
8,PA-A-30_판넬PC,2층203호냉난방기,300,20210307000445,227.429,0.365,73977,3630,4294890000,10,2124850,393.657,393.919,392.455,21.696
9,PA-A-30_판넬PC,2층203호냉난방기,300,20210307000510,227.472,0.365,74266,3488,4294890000,10,2124850,393.87,393.993,392.334,21.888
10,PA-A-30_판넬PC,2층203호냉난방기,300,20210307000535,227.464,0.368,74842,3317,4294890000,10,2124850,394.026,393.979,392.519,21.888
11,PA-A-30_판넬PC,2층203호냉난방기,300,20210307000625,227.808,0.366,74483,3162,4294890000,10,2124850,394.322,394.575,392.786,21.696
12,PA-A-30_판넬PC,2층203호냉난방기,300,20210307000650,227.688,0.366,74312,3448,4294890000,10,2124850,394.189,394.367,392.594,21.888
13,PA-A-30_판넬PC,2층203호냉난방기,300,20210307000715,227.593,0.366,73223,3395,4294890000,10,2124850,394.012,394.203,392.552,21.888
14,PA-A-30_판넬PC,2층203호냉난방기,300,20210307000740,227.361,0.366,74138,3644,4294890000,10,2124850,393.971,393.801,392.277,21.888
15,PA-A-30_판넬PC,2층203호냉난방기,300,20210307000805,227.411,0.367,74208,3276,4294890000,10,2124850,393.905,393.887,392.223,21.888
16,PA-A-30_판넬PC,2층203호냉난방기,300,20210307000855,227.448,0.365,74377,3461,4294890000,10,2124850,393.995,393.951,392.415,21.888
17,PA-A-30_판넬PC,2층203호냉난방기,300,20210307000920,227.375,0.366,74408,3458,4294890000,10,2124850,393.941,393.825,392.297,21.888
18,PA-A-30_판넬PC,2층203호냉난방기,300,20210307000945,227.598,0.367,74650,3971,4294890000,10,2124850,394.256,394.211,392.245,21.888
19,PA-A-30_판넬PC,2층203호냉난방기,300,20210307001010,227.422,0.366,74402,3316,4294890000,10,2124850,393.835,393.906,392.349,21.888
20,PA-A-30_판넬PC,2층203호냉난방기,300,20210307001035,227.92,0.367,73645,3377,4294890000,10,2124850,394.293,394.769,392.734,21.888
21,PA-A-30_판넬PC,2층203호냉난방기,300,20210307001125,227.569,0.365,73743,3742,4294890000,10,2124850,394.22,394.161,392.554,21.888
22,PA-A-30_판넬PC,2층203호냉난방기,300,20210307001150,227.58,0.367,74009,3634,4294890000,10,2124850,393.977,394.18,392.33,21.888
23,PA-A-30_판넬PC,2층203호냉난방기,300,20210307001215,227.696,0.365,74114,3492,4294890000,10,2124850,394.031,394.381,392.469,21.888
24,PA-A-30_판넬PC,2층203호냉난방기,300,20210307001240,227.696,0.365,74114,3492,4294890000,10,2124850,394.031,394.381,392.469,21.888
25,PA-A-30_판넬PC,2층203호냉난방기,300,20210307001305,227.528,0.366,73241,3759,4294890000,10,2124850,393.782,394.09,392.49,21.888
26,PA-A-30_판넬PC,2층203호냉난방기,300,20210307001355,227.539,0.366,74410,3483,4294890000,10,2124850,393.932,394.109,392.62,21.888
27,PA-A-30_판넬PC,2층203호냉난방기,300,20210307001420,227.703,0.367,73342,3544,4294890000,10,2124850,394.203,394.393,392.717,21.888
28,PA-A-30_판넬PC,2층203호냉난방기,300,20210307001445,227.627,0.367,73808,3605,4294890000,10,2124850,394.171,394.262,392.649,21.888
29,PA-A-30_판넬PC,2층203호냉난방기,300,20210307001510,227.736,0.367,74388,3543,4294890000,10,2124850,394.359,394.45,392.73,21.696
30,PA-A-30_판넬PC,2층203호냉난방기,300,20210307001535,227.675,0.366,74321,3284,4294890000,10,2124850,394.294,394.345,392.717,21.888
31,PA-A-30_판넬PC,2층203호냉난방기,300,20210307001625,227.806,0.366,73511,3397,4294890000,10,2124850,394.097,394.572,392.677,21.696
32,PA-A-30_판넬PC,2층203호냉난방기,300,20210307001650,227.87,0.367,74572,3195,4294890000,10,2124850,394.462,394.682,392.794,21.696
33,PA-A-30_판넬PC,2층203호냉난방기,300,20210307001715,227.827,0.366,74677,3208,4294890000,10,2124850,394.476,394.608,392.8,21.888
34,PA-A-30_판넬PC,2층203호냉난방기,300,20210307001740,227.635,0.367,74462,3406,4294890000,10,2124850,394.213,394.275,392.675,21.888
35,PA-A-30_판넬PC,2층203호냉난방기,300,20210307001805,227.927,0.368,74358,3225,4294890000,10,2124850,394.362,394.781,392.865,21.888
36,PA-A-30_판넬PC,2층203호냉난방기,300,20210307001855,227.844,0.365,73796,3675,4294890000,10,2124850,394.721,394.637,393.193,21.888
37,PA-A-30_판넬PC,2층203호냉난방기,300,20210307001920,227.824,0.367,75022,3431,4294890000,10,2124850,394.346,394.603,392.949,21.888
38,PA-A-30_판넬PC,2층203호냉난방기,300,20210307001945,227.824,0.367,75022,3431,4294890000,10,2124850,394.346,394.603,392.949,21.888
